"code UAI";"n° SIRET";"type d'établissement";nom;sigle;statut;tutelle;université;"boîte postale";adresse;CP;commune;"commune (COG)";cedex;téléphone;arrondissement;département;académie;région;"région (COG)";"longitude (X)";"latitude (Y)";"début portes ouvertes";"fin portes ouvertes";"commentaires portes ouvertes";"lien site onisep.fr"
0241153Y;;"Autre établissement du supérieur";"École supérieure internationale de Savignac";;Consulaire;"Ministère chargé des Entreprises et du commerce";;;"Le Bourg";24420;Savignac-les-Églises;24527;;"05 53 05 08 11";;Dordogne;Bordeaux;Nouvelle-Aquitaine;75;0.9124919;45.2727507;19/01/2019;19/01/2019;"autres dates : les 23/02/2019 et 23/03/2019";www.onisep.fr/http/redirection/etablissement/identifiant/11238
0352275H;;"Autre établissement du supérieur";"Association ESUP Bretagne - Ecole supérieure de commerce et management";ESUP;"Privé hors contrat";;;;"1 C rue Louis Braille";35136;Saint-Jacques-de-la-Lande;35281;;"02 99 31 42 43";;Ille-et-Vilaine;Rennes;Bretagne;53;-1.6646545;48.1061159;31/03/2018;31/03/2018;"de 9h à 16h";www.onisep.fr/http/redirection/etablissement/identifiant/11773
0020497E;42086201300026;"Autre établissement du supérieur";"Institut Européen de Gestion";IEG;"Privé hors contrat";;;;"50 rue de Baudreuil";2101;Saint-Quentin;02691;;"03 23 62 27 66";;Aisne;Amiens;Hauts-de-France;32;3.2638857;49.8583534;;;;www.onisep.fr/http/redirection/etablissement/identifiant/11901
9720798K;;"Autre établissement du supérieur";"Institut supérieur Caraïbe";ISCA;"Privé hors contrat";;;;"Immeuble le Trident";97200;Fort-de-France;97209;;"05 96 75 61 61";;Martinique;Martinique;Martinique;2;-61.075058;14.602854;;;;www.onisep.fr/http/redirection/etablissement/identifiant/11987
0672790U;44967708700016;"Autre établissement du supérieur";Horizon;;"Privé hors contrat";;;;"24a rue des Magasins";67000;Strasbourg;67482;;"03 88 23 77 99";;Bas-Rhin;Strasbourg;Grand-Est;44;7.7408689;48.5909179;;;;www.onisep.fr/http/redirection/etablissement/identifiant/12421
0754292H;;"Autre établissement du supérieur";"Institut supérieur d'optique";ISO;"Privé hors contrat";;;;"45 rue de Lourmel";75015;Paris;75115;;"01 53 95 29 29";15;Paris;Paris;Ile-de-France;11;2.289582;48.847487;;;;www.onisep.fr/http/redirection/etablissement/identifiant/12470
0211237F;;"Autre établissement du supérieur";"Institut d'études judiciaires";IEJ;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université de Bourgogne";"BP 17270";"4 boulevard Gabriel";21072;Dijon;21231;;"03 80 39 35 47";;Côte-d'Or;Dijon;Bourgogne-Franche-Comté;27;5.0640352;47.3146574;;;;www.onisep.fr/http/redirection/etablissement/identifiant/12680
0133501K;;"Autre établissement du supérieur";"Institut supérieur du transport et de la logistique internationale";ISTELI;"Privé hors contrat";;;;"368 boulevard Henri Barnier";13322;Marseille;13216;"Cedex 16";"04 91 46 41 46";16;Bouches-du-Rhône;Aix-Marseille;"Provence-Alpes-Côte d'Azur";93;5.3433115;43.3662282;;;;www.onisep.fr/http/redirection/etablissement/identifiant/13067
0541564G;;"Autre établissement du supérieur";"Cycle préparatoire polytechnique - la prépa des INP";"CPP Lorraine";Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université de Lorraine";"BP 30164";"rue du Doyen Roubault";54505;Vandoeuvre-lès-Nancy;54547;Cedex;"03 72 74 42 00";;Meurthe-et-Moselle;Nancy-Metz;Grand-Est;44;6.1395253;48.6512599;10/02/2018;10/02/2018;"de 9h00 à 12h00 et de 14h00 à 17h00";www.onisep.fr/http/redirection/etablissement/identifiant/13128
0624405B;;"Autre établissement du supérieur";"FCU Formation continue - Pôle Formation, Alternance et Reprise d'Etudes (FARE)";FCU;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";;;"Rue Jean Souvraz";62300;Lens;62498;;"03 21 79 17 07";;Pas-de-Calais;Lille;Hauts-de-France;32;2.8243398;50.4348244;10/02/2018;10/02/2018;;www.onisep.fr/http/redirection/etablissement/identifiant/13363
0081083J;18080902200031;"Autre établissement du supérieur";"Institut supérieur de comptabilité et d'économie des entreprises";ISCEE;Consulaire;"Chambre de commerce et d'industrie";;"BP 389";"18A avenue Georges Corneau";8000;Charleville-Mézières;08105;Cedex;"03 24 56 62 61";;Ardennes;Reims;Grand-Est;44;4.7232209;49.7682651;;;;www.onisep.fr/http/redirection/etablissement/identifiant/13816
0783690M;;"Autre établissement du supérieur";ISIPCA;;Consulaire;"Chambre de commerce et d'industrie";;;"34-36 rue du Parc de Clagny";78000;Versailles;78646;;"01 39 23 70 00";;Yvelines;Versailles;Ile-de-France;11;2.1418352;48.8170122;;;;www.onisep.fr/http/redirection/etablissement/identifiant/14221
0312854J;;"Autre établissement du supérieur";"Ecole des avocats Sud Ouest Pyrénées";;"Privé reconnu";"Ministère de la Justice";;;"35 C boulevard des récollets";31400;Toulouse;31555;;"05 61 53 06 99";;Haute-Garonne;Toulouse;Occitanie;76;1.4415269;43.5841393;;;;www.onisep.fr/http/redirection/etablissement/identifiant/14860
0623111V;;"Autre établissement du supérieur";"Institut de formation pédagogique d'Arras";IFP;"Privé reconnu";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Institut catholique de Lille";;"17 avenue Paul Michonneau";62000;Arras;62041;;"03 21 15 25 40";;Pas-de-Calais;Lille;Hauts-de-France;32;2.7828881;50.2948887;;;;www.onisep.fr/http/redirection/etablissement/identifiant/15049
0131404F;;"Autre établissement du supérieur";"Groupe école pratique (antenne du CFA interconsulaire méditerranée)";GEP;Consulaire;"Chambre de commerce et d'industrie";;;"1 rue Saint-Sébastien";13006;Marseille;13206;;"04 91 14 26 80";06;Bouches-du-Rhône;Aix-Marseille;"Provence-Alpes-Côte d'Azur";93;5.382088;43.286199;28/03/2018;28/03/2018;;www.onisep.fr/http/redirection/etablissement/identifiant/15418
0870996K;;"Autre établissement du supérieur";"Institut supérieur de formation à la gestion du personnel";ISFOGEP;Consulaire;"Chambre de commerce et d'industrie";;"BP 34";"43 rue Sainte-Anne";87015;Limoges;87085;"Cedex 01";"05 55 31 67 18";;Haute-Vienne;Limoges;Nouvelle-Aquitaine;75;1.272046;45.8190584;27/01/2018;27/01/2018;"de 10h à 17h";www.onisep.fr/http/redirection/etablissement/identifiant/15617
0763130P;;"Autre établissement du supérieur";"Institut national des techniques économiques et comptables";INTEC-CNAM;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Conservatoire national des arts et métiers";"CS 40340";"25 rue Philippe Lebon";76056;"Le Havre";76351;Cedex;"02 32 74 44 63";;Seine-Maritime;Rouen;Normandie;28;0.129004;49.4958179;;;;www.onisep.fr/http/redirection/etablissement/identifiant/15796
0754302U;;"Autre établissement du supérieur";"ESUP PARIS";;"Privé hors contrat";;;;"45 rue Linois";75017;Paris;75117;;"01 42 93 90 90";17;Paris;Paris;Ile-de-France;11;2.322551;48.882647;;;;www.onisep.fr/http/redirection/etablissement/identifiant/16180
0542394J;;"Autre établissement du supérieur";"Institut supérieur du transport et de la logistique internationale";ISTELI;"Privé hors contrat";;;"BP 72";"94 avenue du Général de Gaulle";54141;Jarville-la-Malgrange;54274;;"03 83 53 39 39";;Meurthe-et-Moselle;Nancy-Metz;Grand-Est;44;6.2075817;48.6636394;;;;www.onisep.fr/http/redirection/etablissement/identifiant/16204
0061542U;38370431900052;"Autre établissement du supérieur";"Ecole supérieure de commerce, de communication et de gestion";ESCCOM;"Privé hors contrat";;;;"22 rue El Nouzah";6000;Nice;06088;;"04 93 85 16 67";;Alpes-Maritimes;Nice;"Provence-Alpes-Côte d'Azur";93;7.2773032;43.7077155;;;;www.onisep.fr/http/redirection/etablissement/identifiant/16386
0595876S;;"Autre établissement du supérieur";"Institut d'études politiques (Sciences Po Lille)";IEP;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université de Lille";;"9 rue Angellier";59000;Lille;59350;;"+ 33 (0) 3 20 90 48 40";;Nord;Lille;Hauts-de-France;32;3.0660256;50.6281021;03/02/2018;03/02/2018;;www.onisep.fr/http/redirection/etablissement/identifiant/16582
0133029X;;"Autre établissement du supérieur";"Ecole Supérieure Privée CPES ESCAGI";ESCAGI;"Privé hors contrat";;;;"9 cours des Arts et Métiers";13090;Aix-en-Provence;13001;;"04 42 69 00 24";;Bouches-du-Rhône;Aix-Marseille;"Provence-Alpes-Côte d'Azur";93;5.4449712;43.5205006;;;;www.onisep.fr/http/redirection/etablissement/identifiant/16880
0694111U;;"Autre établissement du supérieur";"Ecole des avocats de la région Rhône-Alpes";CRFPA;Public;"Ministère de la Justice";;;"191 rue Vendôme";69003;Lyon;69383;;"04 78 37 49 74";03;Rhône;Lyon;Auvergne-Rhône-Alpes;84;4.861029;45.773055;;;;www.onisep.fr/http/redirection/etablissement/identifiant/17008
0755105S;;"Autre établissement du supérieur";"Institut de formation et d'enseignement supérieur INFOSUP Paris";INFOSUP;"Privé hors contrat";;;;"139 rue Pyrénées - Bagnères 93";75020;Paris;75120;;"08 00 60 06 33";20;Paris;Paris;Ile-de-France;11;2.370613;48.867127;;;;www.onisep.fr/http/redirection/etablissement/identifiant/17551
0596794P;42380635500149;"Autre établissement du supérieur";MAESTRIS;;"Privé hors contrat";;;;"9bis rue de Roubaix";59400;Cambrai;59122;;"03 27 72 00 25";;Nord;Lille;Hauts-de-France;32;3.2385513;50.1803808;;;;www.onisep.fr/http/redirection/etablissement/identifiant/17707
0753593Y;;"Autre établissement du supérieur";"Institut d'études des relations internationales";ILERI-ILECI;"Privé hors contrat";;;;"20 bis jardins Boieldieu";92800;Puteaux;92062;;"01 40 53 00 44";;Hauts-de-Seine;Versailles;Ile-de-France;11;2.305568;48.883657;02/02/2018;02/02/2018;"autres portes ouvertes le 07/04/2018 de 9 h 30 à 12 h";www.onisep.fr/http/redirection/etablissement/identifiant/18255
0133331A;;"Autre établissement du supérieur";"Merkure Business School";;"Privé hors contrat";;;"CS 10450";"384 avenue du Club Hippique";13096;Aix-en-Provence;13001;"Cedex 02";"04 42 20 62 06";;Bouches-du-Rhône;Aix-Marseille;"Provence-Alpes-Côte d'Azur";93;5.4320965;43.5144;;;;www.onisep.fr/http/redirection/etablissement/identifiant/18639
0594658T;;"Autre établissement du supérieur";"Institut des métiers du notariat";IMN;"Privé reconnu";"Ministère de la Justice";;;"9 rue de Puebla";59000;Lille;59350;;"03 20 54 54 52";;Nord;Lille;Hauts-de-France;32;3.0578728;50.6334153;27/01/2018;27/01/2018;"et le 17 mars 2018, de 10h à 12h";www.onisep.fr/http/redirection/etablissement/identifiant/18966
0301376H;;"Autre établissement du supérieur";"Institut des métiers du notariat";IMN;"Privé reconnu";"Ministère de la Justice";;;"26 quai de la Fontaine";30900;Nîmes;30189;;"04 66 67 85 40";;Gard;Montpellier;Occitanie;76;4.3521455;43.8390219;;;;www.onisep.fr/http/redirection/etablissement/identifiant/19043
0754841E;;"Autre établissement du supérieur";"INES Formation";;"Privé hors contrat";;;;"36 bis boulevard Haussmann";75009;Paris;75109;;"01 42 46 24 64";09;Paris;Paris;Ile-de-France;11;2.333411;48.872913;15/12/2018;15/12/2018;"autres portes ouvertes le 2 février 2019";www.onisep.fr/http/redirection/etablissement/identifiant/19122
0141890D;;"Autre établissement du supérieur";"Ecole internationale Tunon";;"Privé hors contrat";;;;"13 rue Martin Luther King";14280;Saint-Contest;14566;;"02 31 86 42 56";;Calvados;Caen;Normandie;28;-0.3727792;49.1826476;20/01/2018;20/01/2018;"de 9h30 à 17h, le 14/02/2018 de 13h à 17h, le 24/03/2018 de 9h30 à 17h, le 16/05/2018 et le 23/06/2018 de 10h à 16h";www.onisep.fr/http/redirection/etablissement/identifiant/19444
0352371M;13001314700108;"Autre établissement du supérieur";"Ecole d'optique de la Faculté des Métiers";;Consulaire;"Chambre de commerce et d'industrie";;"CS 80612";"4 rue Claude Bourgelat";35306;Fougères;35115;Cedex;"02 99 94 75 91";;Ille-et-Vilaine;Rennes;Bretagne;53;2.304897;48.86415;10/02/2018;10/02/2018;"de 9h à 16h";www.onisep.fr/http/redirection/etablissement/identifiant/19896
0310133B;;"Autre établissement du supérieur";"Institut d'études politiques (Sciences Po Toulouse)";IEP;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université Toulouse I Capitole";"BP 88526";"2 ter rue des Puits Creusés";31685;Toulouse;31555;"Cedex 06";"05 61 11 02 60";;Haute-Garonne;Toulouse;Occitanie;76;1.437964;43.607447;10/02/2018;10/02/2018;"de 10h à 17h";www.onisep.fr/http/redirection/etablissement/identifiant/20072
0753437D;;"Autre établissement du supérieur";"Institut supérieur de formation de l'enseignement catholique";"ISFEC AFAREC";"Privé sous contrat";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";;;"39 rue Notre Dame des Champs";75006;Paris;75106;;"01 44 39 45 90";06;Paris;Paris;Ile-de-France;11;2.331532;48.845733;;;;www.onisep.fr/http/redirection/etablissement/identifiant/20297
0753431X;;"Autre établissement du supérieur";"Sciences Po";IEP;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";;;"27 rue Saint Guillaume";75007;Paris;75107;;"01 45 49 50 50";07;Paris;Paris;Ile-de-France;11;2.328369;48.854199;25/11/2017;25/11/2017;;www.onisep.fr/http/redirection/etablissement/identifiant/20345
0922705R;;"Autre établissement du supérieur";"SCIENCES-U EFAB Paris, école supérieure Immobilier et Ressources Humaines";;"Privé hors contrat";;;;"11-13 rue Camille Pelletan";92120;Montrouge;92049;;"01 41 17 12 12";;Hauts-de-Seine;Versailles;Ile-de-France;11;2.28129;48.856991;;;;www.onisep.fr/http/redirection/etablissement/identifiant/20732
0754947V;;"Autre établissement du supérieur";"Muséum national d'histoire naturelle";MNHN;Public;"Ministère de la transition écologique et solidaire";;;"57 rue Cuvier";75005;Paris;75105;;"01 40 79 38 97";05;Paris;Paris;Ile-de-France;11;2.3566353;48.8439198;;;;www.onisep.fr/http/redirection/etablissement/identifiant/20793
0595728F;;"Autre établissement du supérieur";"MAESTRIS Sup";;"Privé hors contrat";;;;"50 allée de Safed";59000;Lille;59350;;"03 20 06 02 89";;Nord;Lille;Hauts-de-France;32;3.074745;50.637578;02/12/2017;02/12/2017;"de 9h à 13h, le 20/01/2018 de 10h à 17h, le 17/02/2018 de 10h à 17h, le 17/03/2018 de 10h à 16h, le 14/04/2018 de 9h à 13h, le 16/05/2018 de 14h à 19h, le 23/05/218 de 14h à 19h, le 06/06/2018 de 14h à 19h et le 20/06/2018 de 14h à 19h";www.onisep.fr/http/redirection/etablissement/identifiant/20906
0781975Y;38496944000021;"Autre établissement du supérieur";"Groupe ICS (ex Institut commercial Jean Baptiste Say)";;"Privé hors contrat";;;;"4 rue Saint-Fiacre";78000;Versailles;78646;;"01 39 50 14 20";;Yvelines;Versailles;Ile-de-France;11;2.140309;48.810131;;;;www.onisep.fr/http/redirection/etablissement/identifiant/21017
0332769F;;"Autre établissement du supérieur";"École internationale Tunon";;"Privé hors contrat";;;;"98 cours Alsace Lorraine";33000;Bordeaux;33063;;"05 56 44 80 41";;Gironde;Bordeaux;Nouvelle-Aquitaine;75;-0.5733828;44.8375697;;;;www.onisep.fr/http/redirection/etablissement/identifiant/21199
0422257A;;"Autre établissement du supérieur";CREATECH;;"Privé hors contrat";;;;"1 rue Charbillot";42300;Roanne;42187;;"04 77 23 63 98";;Loire;Lyon;Auvergne-Rhône-Alpes;84;4.080364;46.036937;23/02/2019;23/02/2019;"de 10h à 17h";www.onisep.fr/http/redirection/etablissement/identifiant/21238
0693705C;;"Autre établissement du supérieur";"Médiat centre régional de formation aux métiers des bibliothèques";;Public;;"Université Grenoble Alpes";"BP 72215";"20 avenue Gaston Berger";69622;Villeurbanne;69266;Cedex;"04 26 23 71 50";;Rhône;Lyon;Auvergne-Rhône-Alpes;84;4.871333;45.7822695;;;;www.onisep.fr/http/redirection/etablissement/identifiant/21387
0573727S;;"Autre établissement du supérieur";SUP-FORMATION;;"Privé hors contrat";;;;"10 avenue Sébastopol";57000;Metz;57463;;"03 87 39 70 65";;Moselle;Nancy-Metz;Grand-Est;44;6.2305284;49.1116288;06/03/2018;06/03/2018;"de 10h00 à 12h00 et de 14h00 à 16h00; autres dates : 20/03/2018, 10/04/2018, 24/04/2018, 15/05/2018, 05/06/2018, 19/06/2018, 03/07/2018, 04/09/2018, 18/09/2018, 02/10/2018 et 16/10/2018";www.onisep.fr/http/redirection/etablissement/identifiant/21471
0596791L;42380635500107;"Autre établissement du supérieur";"MAESTRIS Beauté";;"Privé hors contrat";;;;"50 allée de Safed";59000;Lille;59350;;"03 28 36 07 29";;Nord;Lille;Hauts-de-France;32;3.073842;50.637609;02/12/2017;02/12/2017;"de 9h à 13h, le 20/01/2018 de 10h à 17h, le 17/02/2018 de 10h à 17h, le 17/03/2018 de 10h à 16h, le 14/04/2018 de 9h à 13h, le 16/05/2018 de 14h à 19h, le 23/05/218 de 14h à 19h, le 06/06/2018 de 14h à 19h et le 20/06/2018 de 14h à 19h";www.onisep.fr/http/redirection/etablissement/identifiant/21717
0142248T;;"Autre établissement du supérieur";"Ecole supérieure des services aux entreprises";E2SE;"Privé hors contrat";;;;"13 boulevard du Maréchal Juin";14000;Caen;14118;;"02 31 53 30 30";;Calvados;Caen;Normandie;28;-0.3682741;49.2098489;09/12/2017;09/12/2017;"de 9h à 13h";www.onisep.fr/http/redirection/etablissement/identifiant/21787
0383361X;;"Autre établissement du supérieur";"CCI Nord Isère Formation en alternance";ISFO;Consulaire;"Chambre de commerce et d'industrie";;"CS 20312";"5 rue Condorcet";38090;Villefontaine;38553;;"04 74 95 24 00";;Isère;Grenoble;Auvergne-Rhône-Alpes;84;5.166338;45.627254;;;;www.onisep.fr/http/redirection/etablissement/identifiant/21847
0312727W;;"Autre établissement du supérieur";"Ecole technique privée ISSEC PIGIER";"Issec Pigier";"Privé hors contrat";;;;"8 rue Françoise d'Eaubonne";31200;Toulouse;31555;;"05 61 21 33 11";;Haute-Garonne;Toulouse;Occitanie;76;1.456686258316;43.642667161443;16/12/2017;16/12/2017;;www.onisep.fr/http/redirection/etablissement/identifiant/21912
0741691L;49100571600015;"Autre établissement du supérieur";"Ecole technique privée ECORIS Annemasse";ECORIS;"Privé hors contrat";;;;"39 rue René Cassin";74240;Gaillard;74133;;"04 50 87 21 36";;Haute-Savoie;Grenoble;Auvergne-Rhône-Alpes;84;6.215386;46.179271;;;;www.onisep.fr/http/redirection/etablissement/identifiant/22124
0694100G;;"Autre établissement du supérieur";"École pour l'informatique et les nouvelles technologies";EPITECH;"Privé hors contrat";;;;"22 rue du professeur Charles Appleton";69007;Lyon;69387;;"01 44 08 00 13";07;Rhône;Lyon;Auvergne-Rhône-Alpes;84;4.8568653;45.7569796;13/10/2018;13/10/2018;"10/11/2018, 15/12/2018, 19/01/2018, 09/02/2018, 16/03/2018, 04/04/2018";www.onisep.fr/http/redirection/etablissement/identifiant/22366
0212195X;;"Autre établissement du supérieur";"Institut supérieur Saint-Joseph";"Sup'St Jo";"Privé reconnu";;;"BP 51090";"39 rue du Transvaal";21010;Dijon;21231;Cedex;"03 80 59 20 20";;Côte-d'Or;Dijon;Bourgogne-Franche-Comté;27;5.0377761;47.315352;03/02/2018;03/02/2018;;www.onisep.fr/http/redirection/etablissement/identifiant/22496
0330209Y;;"Autre établissement du supérieur";"Institut des métiers du notariat et Centre de formation professionnelle des notaires (CFPN)";"IMN - CFPN";"Privé reconnu";;;;"7 rue Mably";33000;Bordeaux;33063;;"05 56 48 69 60 / 05 56 44 00 91";;Gironde;Bordeaux;Nouvelle-Aquitaine;75;-0.5766805;44.8433524;;;;www.onisep.fr/http/redirection/etablissement/identifiant/22498
0596851B;;"Autre établissement du supérieur";"École pour l'informatique et les nouvelles technologies";EPITECH;"Privé hors contrat";;;;"5-9 rue du Palais Rihour";59000;Lille;59350;;"01 44 08 00 10";;Nord;Lille;Hauts-de-France;32;3.0614601;50.6349579;25/11/2017;25/11/2017;"16/12/2017, 20/01/2018, 17/02/2018, 17/03/2018, 31/03/2018 et 7/04/2018 2018";www.onisep.fr/http/redirection/etablissement/identifiant/22562
0383372J;;"Autre établissement du supérieur";"La prépa Galien";;"Privé hors contrat";;;;"3 chemin de ronde";38000;Grenoble;38185;;"04 76 03 00 01";;Isère;Grenoble;Auvergne-Rhône-Alpes;84;5.7378141;45.2017422;;;;www.onisep.fr/http/redirection/etablissement/identifiant/22636
0693007U;;"Autre établissement du supérieur";"Institut de langue et culture françaises";ILCF;"Privé reconnu";;"Institut catholique de Lyon";;"23 place Carnot";69288;Lyon;69382;"Cedex 02";"04 72 32 50 53";02;Rhône;Lyon;Auvergne-Rhône-Alpes;84;4.8285338;45.7571036;;;;www.onisep.fr/http/redirection/etablissement/identifiant/22720
0573741G;;"Autre établissement du supérieur";"Institut de Management Commercial";"IMC - ARTEMYS";"Privé hors contrat";;;;"8 rue Thomas Edison";57070;Metz;57463;;"09 67 08 82 06";;Moselle;Nancy-Metz;Grand-Est;44;6.2261029;49.1028045;;;;www.onisep.fr/http/redirection/etablissement/identifiant/22737
0133962L;;"Autre établissement du supérieur";"Ecole supérieure de design, d'arts appliqués et de communication";ESDAC;"Privé hors contrat";;;;"5 boulevard de la République";13090;Aix-en-Provence;13001;;"04 42 91 66 90";;Bouches-du-Rhône;Aix-Marseille;"Provence-Alpes-Côte d'Azur";93;5.4429239;43.5274239;23/03/2018;24/03/2018;"autres portes ouvertes : le 10 février 2018 dans toutes les écoles ESDAC";www.onisep.fr/http/redirection/etablissement/identifiant/23041
0332818J;;"Autre établissement du supérieur";"Sup de Pub - INSEEC";;"Privé hors contrat";;;;"Hangar 18 quai de Bacalan";33300;Bordeaux;33063;;"05 56 01 22 09";;Gironde;Bordeaux;Nouvelle-Aquitaine;75;-0.55746504313049;44.858348540887;;;;www.onisep.fr/http/redirection/etablissement/identifiant/23096
0333233K;43780876900024;"Autre établissement du supérieur";"Altéa Formation";;"Privé hors contrat";;;;"19 allée James Watt";33700;Mérignac;33281;;"05 57 57 71 71";;Gironde;Bordeaux;Nouvelle-Aquitaine;75;-0.6735607;44.8296936;;;;www.onisep.fr/http/redirection/etablissement/identifiant/23229
0133417U;;"Autre établissement du supérieur";"Grand port maritime de Marseille - Centre de droit maritime et des transports";GPMM-CMDT-AMU;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";;"BP 81965";"23 place de la Joliette";13226;Marseille;13202;Cedex;"04 91 39 52 90";02;Bouches-du-Rhône;Aix-Marseille;"Provence-Alpes-Côte d'Azur";93;5.366542;43.305061;17/03/2018;17/03/2018;"de 10 h à 17 h";www.onisep.fr/http/redirection/etablissement/identifiant/23291
0492076R;;"Autre établissement du supérieur";"Faculté de droit, économie, gestion";;"Privé sous contrat";;"Faculté libre de l'Ouest";"BP 10808";"3 Place André Leroy";49008;Angers;49007;"Cedex 01";"02 72 79 63 66";;Maine-et-Loire;Nantes;"Pays de la Loire";52;-0.5487333;47.4648753;20/01/2018;20/01/2018;"et le 17/03/2018 de 9h30 à 17h";www.onisep.fr/http/redirection/etablissement/identifiant/23417
0596872Z;;"Autre établissement du supérieur";ADONIS;;"Privé hors contrat";;;;"24 bis rue Gantois";59000;Lille;59350;;"03 20 74 90 40";;Nord;Lille;Hauts-de-France;32;3.0641738;50.6420122;19/05/2018;19/05/2018;"le 16/06/2018 et le 07/07/2018";www.onisep.fr/http/redirection/etablissement/identifiant/23574
0596351H;;"Autre établissement du supérieur";"EFAB - Ecole supérieure des métiers de l'immobilier";;"Privé hors contrat";;;;"159-161 boulevard de la liberté";59000;Lille;59350;;"03 20 15 16 77";;Nord;Lille;Hauts-de-France;32;3.054193;50.633509;09/12/2017;09/12/2017;"le 20/01/2018, le 03/03/2018, le 05/05/2018 et le 16/06/2018 de 10h à 17h";www.onisep.fr/http/redirection/etablissement/identifiant/23615
0312717K;45125756200012;"Autre établissement du supérieur";ADONIS;;"Privé hors contrat";;;;"179 avenue de Muret";31300;Toulouse;31555;;"05 62 20 08 04";;Haute-Garonne;Toulouse;Occitanie;76;1.4303977;43.5878317;;;;www.onisep.fr/http/redirection/etablissement/identifiant/23630
0912289U;;"Autre établissement du supérieur";"Institut supérieur de commerce et d'informatique d'Orsay";ISCIO;"Privé hors contrat";;;;"3 rue du lycée";91400;Orsay;91471;;"01 69 86 90 41";;Essonne;Versailles;Ile-de-France;11;2.1868434;48.695912;;;;www.onisep.fr/http/redirection/etablissement/identifiant/23661
0561809M;;"Autre établissement du supérieur";"Ecole supérieure en architecture intérieure";IFAT;"Privé hors contrat";;;;"9 rue Blaise Pascal";56890;Plescop;56158;;"02 97 42 59 52";;Morbihan;Rennes;Bretagne;53;-2.8063249;47.6977929;10/02/2018;11/02/2018;"le 10 de 10h à 17h et le 11 de 10h à 17h";www.onisep.fr/http/redirection/etablissement/identifiant/23724
0134078M;;"Autre établissement du supérieur";"ESG AIX";ESG;"Privé hors contrat";;;;"95 Chemin Roger Martin";13090;Aix-en-Provence;13001;;"04 42 29 52 97";;Bouches-du-Rhône;Aix-Marseille;"Provence-Alpes-Côte d'Azur";93;5.4298109;43.515768;02/07/2018;02/07/2018;"de 14h30 à 17h";www.onisep.fr/http/redirection/etablissement/identifiant/23806
0442833R;;"Autre établissement du supérieur";"SUPINFO - Ecole supérieure d'informatique";SUPINFO;"Privé hors contrat";;;;"1 rue du Charron";44800;Saint-Herblain;44162;;"01 53 35 97 00";;Loire-Atlantique;Nantes;"Pays de la Loire";52;-1.6405752;47.2224781;09/12/2017;09/12/2017;"de 10h à 17h ; 03/02/2018 de 10h à 17h ; 17/03/2018 de 10h à 17h ; 11/07/2018 de 10h à 17h ; 15/09/2018 de 10h à 17h";www.onisep.fr/http/redirection/etablissement/identifiant/23832
0142321X;;"Autre établissement du supérieur";"Institut des Métiers de l'Architecture et du Design - IMAD - groupe AIFCC";IMAD;Consulaire;"Chambre de commerce et d'industrie";;"BP 65036";"7 rue Professeur Rousselot";14077;Caen;14118;"cedex 05";"02 31 44 39 03";;Calvados;Caen;Normandie;28;-0.3594058;49.2061862;27/01/2018;27/01/2018;"de 10h à 16h et le 24/03/2018 de 9h à 13h";www.onisep.fr/http/redirection/etablissement/identifiant/23843
0141178E;;"Autre établissement du supérieur";"Centre de Formation St Ursule";;"Privé hors contrat";;;;"26  rue de la miséricorde";14000;Caen;14118;;"02 31 34 94 49";;Calvados;Caen;Normandie;28;-0.35113869999998;49.1741315;;;;www.onisep.fr/http/redirection/etablissement/identifiant/23871
0333267X;41525756200038;"Autre établissement du supérieur";ADONIS;;"Privé hors contrat";;;;"10 terrasse Front du Médoc";33000;Bordeaux;33063;;"05 56 86 74 93";;Gironde;Bordeaux;Nouvelle-Aquitaine;75;-0.58838705772416;44.837860039178;19/05/2018;19/05/2018;"le 23/06/2018 et le 07/07/2018, de 9h à 16h";www.onisep.fr/http/redirection/etablissement/identifiant/23917
0932599V;;"Autre établissement du supérieur";"Ecole INFA Paris Nord 2 (annexe)";;"Privé hors contrat";;;"BP 47017";"13 rue de la perdrix";93290;Tremblay-en-France;93073;Cedex;"01 48 63 12 81";;Seine-Saint-Denis;Créteil;Ile-de-France;11;2.5090052;48.9767683;;;;www.onisep.fr/http/redirection/etablissement/identifiant/23977
0442618G;;"Autre établissement du supérieur";Etudia;;"Privé hors contrat";;;"CS 72304";"10 rue Louis de Broglie";44323;Nantes;44109;;"02 40 50 87 82";;Loire-Atlantique;Nantes;"Pays de la Loire";52;-1.5035729;47.2981691;03/02/2018;03/02/2018;"et le 17/03/2018";www.onisep.fr/http/redirection/etablissement/identifiant/24052
